datetime,total_number,day_type,ticket_type,service,Month_Year,Year,As Quarter,Fiscal Year
2021-12-01 16:00:00,160,Weekday,Fareless,US 20 Commuter (AM),2021-12,2021,2022Q2,2022
2022-01-01 16:00:00,167,Weekday,Fareless,US 20 Commuter (AM),2022-01,2022,2022Q3,2022
2022-02-01 16:00:00,178,Weekday,Fareless,US 20 Commuter (AM),2022-02,2022,2022Q3,2022
2022-03-01 16:00:00,249,Weekday,Fareless,US 20 Commuter (AM),2022-03,2022,2022Q3,2022
2022-04-01 16:00:00,247,Weekday,Fareless,US 20 Commuter (AM),2022-04,2022,2022Q4,2022
2022-05-01 16:00:00,273,Weekday,Fareless,US 20 Commuter (AM),2022-05,2022,2022Q4,2022
2022-06-01 16:00:00,252,Weekday,Fareless,US 20 Commuter (AM),2022-06,2022,2022Q4,2022
2022-07-01 16:00:00,229,Weekday,Fareless,US 20 Commuter (AM),2022-07,2022,2023Q1,2023
2022-08-01 16:00:00,300,Weekday,Fareless,US 20 Commuter (AM),2022-08,2022,2023Q1,2023
2022-09-01 16:00:00,332,Weekday,Fareless,US 20 Commuter (AM),2022-09,2022,2023Q1,2023
2022-10-01 16:00:00,361,Weekday,Fareless,US 20 Commuter (AM),2022-10,2022,2023Q2,2023
2022-11-01 16:00:00,407,Weekday,Fareless,US 20 Commuter (AM),2022-11,2022,2023Q2,2023
2022-12-01 16:00:00,299,Weekday,Fareless,US 20 Commuter (AM),2022-12,2022,2023Q2,2023
2023-01-01 16:00:00,216,Weekday,Fareless,US 20 Commuter (AM),2023-01,2023,2023Q3,2023
2023-02-01 16:00:00,333,Weekday,Fareless,US 20 Commuter (AM),2023-02,2023,2023Q3,2023
2023-03-01 16:00:00,328,Weekday,Fareless,US 20 Commuter (AM),2023-03,2023,2023Q3,2023
2023-04-01 16:00:00,358,Weekday,Fareless,US 20 Commuter (AM),2023-04,2023,2023Q4,2023
2023-05-01 16:00:00,412,Weekday,Fareless,US 20 Commuter (AM),2023-05,2023,2023Q4,2023
2023-06-01 16:00:00,376,Weekday,Fareless,US 20 Commuter (AM),2023-06,2023,2023Q4,2023
2023-07-01 16:00:00,361,Weekday,Fareless,US 20 Commuter (AM),2023-07,2023,2024Q1,2024
2023-08-01 16:00:00,512,Weekday,Fareless,US 20 Commuter (AM),2023-08,2023,2024Q1,2024
2023-09-01 16:00:00,447,Weekday,Fareless,US 20 Commuter (AM),2023-09,2023,2024Q1,2024
2021-12-01 16:00:00,182,Weekday,Fareless,US 20 Commuter (PM),2021-12,2021,2022Q2,2022
2022-01-01 16:00:00,213,Weekday,Fareless,US 20 Commuter (PM),2022-01,2022,2022Q3,2022
2022-02-01 16:00:00,308,Weekday,Fareless,US 20 Commuter (PM),2022-02,2022,2022Q3,2022
2022-03-01 16:00:00,358,Weekday,Fareless,US 20 Commuter (PM),2022-03,2022,2022Q3,2022
2022-04-01 16:00:00,371,Weekday,Fareless,US 20 Commuter (PM),2022-04,2022,2022Q4,2022
2022-05-01 16:00:00,428,Weekday,Fareless,US 20 Commuter (PM),2022-05,2022,2022Q4,2022
2022-06-01 16:00:00,434,Weekday,Fareless,US 20 Commuter (PM),2022-06,2022,2022Q4,2022
2022-07-01 16:00:00,410,Weekday,Fareless,US 20 Commuter (PM),2022-07,2022,2023Q1,2023
2022-08-01 16:00:00,504,Weekday,Fareless,US 20 Commuter (PM),2022-08,2022,2023Q1,2023
2022-09-01 16:00:00,538,Weekday,Fareless,US 20 Commuter (PM),2022-09,2022,2023Q1,2023
2022-10-01 16:00:00,528,Weekday,Fareless,US 20 Commuter (PM),2022-10,2022,2023Q2,2023
2022-11-01 16:00:00,611,Weekday,Fareless,US 20 Commuter (PM),2022-11,2022,2023Q2,2023
2022-12-01 16:00:00,597,Weekday,Fareless,US 20 Commuter (PM),2022-12,2022,2023Q2,2023
2023-01-01 16:00:00,429,Weekday,Fareless,US 20 Commuter (PM),2023-01,2023,2023Q3,2023
2023-02-01 16:00:00,660,Weekday,Fareless,US 20 Commuter (PM),2023-02,2023,2023Q3,2023
2023-03-01 16:00:00,651,Weekday,Fareless,US 20 Commuter (PM),2023-03,2023,2023Q3,2023
2023-04-01 16:00:00,554,Weekday,Fareless,US 20 Commuter (PM),2023-04,2023,2023Q4,2023
2023-05-01 16:00:00,982,Weekday,Fareless,US 20 Commuter (PM),2023-05,2023,2023Q4,2023
2023-06-01 16:00:00,624,Weekday,Fareless,US 20 Commuter (PM),2023-06,2023,2023Q4,2023
2023-07-01 16:00:00,571,Weekday,Fareless,US 20 Commuter (PM),2023-07,2023,2024Q1,2024
2023-08-01 16:00:00,571,Weekday,Fareless,US 20 Commuter (PM),2023-08,2023,2024Q1,2024
2023-09-01 16:00:00,421,Weekday,Fareless,US 20 Commuter (PM),2023-09,2023,2024Q1,2024
2021-12-01 16:00:00,553,Weekday,Fareless,Campus Connector 1,2021-12,2021,2022Q2,2022
2022-01-01 16:00:00,1358,Weekday,Fareless,Campus Connector 1,2022-01,2022,2022Q3,2022
2022-02-01 16:00:00,1157,Weekday,Fareless,Campus Connector 1,2022-02,2022,2022Q3,2022
2022-03-01 16:00:00,1002,Weekday,Fareless,Campus Connector 1,2022-03,2022,2022Q3,2022
2022-04-01 16:00:00,1238,Weekday,Fareless,Campus Connector 1,2022-04,2022,2022Q4,2022
2022-05-01 16:00:00,1215,Weekday,Fareless,Campus Connector 1,2022-05,2022,2022Q4,2022
2022-06-01 16:00:00,532,Weekday,Fareless,Campus Connector 1,2022-06,2022,2022Q4,2022
2022-07-01 16:00:00,478,Weekday,Fareless,Campus Connector 1,2022-07,2022,2023Q1,2023
2022-08-01 16:00:00,528,Weekday,Fareless,Campus Connector 1,2022-08,2022,2023Q1,2023
2022-09-01 16:00:00,1087,Weekday,Fareless,Campus Connector 1,2022-09,2022,2023Q1,2023
2022-10-01 16:00:00,2805,Weekday,Fareless,Campus Connector 1,2022-10,2022,2023Q2,2023
2022-11-01 16:00:00,2275,Weekday,Fareless,Campus Connector 1,2022-11,2022,2023Q2,2023
2022-12-01 16:00:00,813,Weekday,Fareless,Campus Connector 1,2022-12,2022,2023Q2,2023
2023-01-01 16:00:00,1702,Weekday,Fareless,Campus Connector 1,2023-01,2023,2023Q3,2023
2023-02-01 16:00:00,2394,Weekday,Fareless,Campus Connector 1,2023-02,2023,2023Q3,2023
2023-03-01 16:00:00,1433,Weekday,Fareless,Campus Connector 1,2023-03,2023,2023Q3,2023
2023-04-01 16:00:00,2306,Weekday,Fareless,Campus Connector 1,2023-04,2023,2023Q4,2023
2023-05-01 16:00:00,2317,Weekday,Fareless,Campus Connector 1,2023-05,2023,2023Q4,2023
2023-06-01 16:00:00,1321,Weekday,Fareless,Campus Connector 1,2023-06,2023,2023Q4,2023
2023-07-01 16:00:00,605,Weekday,Fareless,Campus Connector 1,2023-07,2023,2024Q1,2024
2023-08-01 16:00:00,586,Weekday,Fareless,Campus Connector 1,2023-08,2023,2024Q1,2024
2023-09-01 16:00:00,1362,Weekday,Fareless,Campus Connector 1,2023-09,2023,2024Q1,2024
2021-12-01 16:00:00,439,Weekday,Fareless,Campus Connector 2,2021-12,2021,2022Q2,2022
2022-01-01 16:00:00,823,Weekday,Fareless,Campus Connector 2,2022-01,2022,2022Q3,2022
2022-02-01 16:00:00,865,Weekday,Fareless,Campus Connector 2,2022-02,2022,2022Q3,2022
2022-03-01 16:00:00,819,Weekday,Fareless,Campus Connector 2,2022-03,2022,2022Q3,2022
2022-04-01 16:00:00,949,Weekday,Fareless,Campus Connector 2,2022-04,2022,2022Q4,2022
2022-05-01 16:00:00,973,Weekday,Fareless,Campus Connector 2,2022-05,2022,2022Q4,2022
2022-06-01 16:00:00,690,Weekday,Fareless,Campus Connector 2,2022-06,2022,2022Q4,2022
2022-07-01 16:00:00,601,Weekday,Fareless,Campus Connector 2,2022-07,2022,2023Q1,2023
2022-08-01 16:00:00,544,Weekday,Fareless,Campus Connector 2,2022-08,2022,2023Q1,2023
2022-09-01 16:00:00,1086,Weekday,Fareless,Campus Connector 2,2022-09,2022,2023Q1,2023
2022-10-01 16:00:00,2096,Weekday,Fareless,Campus Connector 2,2022-10,2022,2023Q2,2023
2022-11-01 16:00:00,1414,Weekday,Fareless,Campus Connector 2,2022-11,2022,2023Q2,2023
2022-12-01 16:00:00,690,Weekday,Fareless,Campus Connector 2,2022-12,2022,2023Q2,2023
2023-01-01 16:00:00,1118,Weekday,Fareless,Campus Connector 2,2023-01,2023,2023Q3,2023
2023-02-01 16:00:00,1584,Weekday,Fareless,Campus Connector 2,2023-02,2023,2023Q3,2023
2023-03-01 16:00:00,1090,Weekday,Fareless,Campus Connector 2,2023-03,2023,2023Q3,2023
2023-04-01 16:00:00,1563,Weekday,Fareless,Campus Connector 2,2023-04,2023,2023Q4,2023
2023-05-01 16:00:00,1750,Weekday,Fareless,Campus Connector 2,2023-05,2023,2023Q4,2023
2023-06-01 16:00:00,965,Weekday,Fareless,Campus Connector 2,2023-06,2023,2023Q4,2023
2023-07-01 16:00:00,511,Weekday,Fareless,Campus Connector 2,2023-07,2023,2024Q1,2024
2023-08-01 16:00:00,690,Weekday,Fareless,Campus Connector 2,2023-08,2023,2024Q1,2024
2023-09-01 16:00:00,990,Weekday,Fareless,Campus Connector 2,2023-09,2023,2024Q1,2024
2021-12-01 16:00:00,782,Weekday,Fareless,Heart-to-Hub Uniter,2021-12,2021,2022Q2,2022
2022-01-01 16:00:00,824,Weekday,Fareless,Heart-to-Hub Uniter,2022-01,2022,2022Q3,2022
2022-02-01 16:00:00,999,Weekday,Fareless,Heart-to-Hub Uniter,2022-02,2022,2022Q3,2022
2022-03-01 16:00:00,1317,Weekday,Fareless,Heart-to-Hub Uniter,2022-03,2022,2022Q3,2022
2022-04-01 16:00:00,1296,Weekday,Fareless,Heart-to-Hub Uniter,2022-04,2022,2022Q4,2022
2022-05-01 16:00:00,1389,Weekday,Fareless,Heart-to-Hub Uniter,2022-05,2022,2022Q4,2022
2022-06-01 16:00:00,1255,Weekday,Fareless,Heart-to-Hub Uniter,2022-06,2022,2022Q4,2022
2022-07-01 16:00:00,1015,Weekday,Fareless,Heart-to-Hub Uniter,2022-07,2022,2023Q1,2023
2022-08-01 16:00:00,1374,Weekday,Fareless,Heart-to-Hub Uniter,2022-08,2022,2023Q1,2023
2022-09-01 16:00:00,1520,Weekday,Fareless,Heart-to-Hub Uniter,2022-09,2022,2023Q1,2023
2022-10-01 16:00:00,2643,Weekday,Fareless,Heart-to-Hub Uniter,2022-10,2022,2023Q2,2023
2022-11-01 16:00:00,1828,Weekday,Fareless,Heart-to-Hub Uniter,2022-11,2022,2023Q2,2023
2022-12-01 16:00:00,1293,Weekday,Fareless,Heart-to-Hub Uniter,2022-12,2022,2023Q2,2023
2023-01-01 16:00:00,1277,Weekday,Fareless,Heart-to-Hub Uniter,2023-01,2023,2023Q3,2023
2023-02-01 16:00:00,2097,Weekday,Fareless,Heart-to-Hub Uniter,2023-02,2023,2023Q3,2023
2023-03-01 16:00:00,1920,Weekday,Fareless,Heart-to-Hub Uniter,2023-03,2023,2023Q3,2023
2023-04-01 16:00:00,2184,Weekday,Fareless,Heart-to-Hub Uniter,2023-04,2023,2023Q4,2023
2023-05-01 16:00:00,2432,Weekday,Fareless,Heart-to-Hub Uniter,2023-05,2023,2023Q4,2023
2023-06-01 16:00:00,1866,Weekday,Fareless,Heart-to-Hub Uniter,2023-06,2023,2023Q4,2023
2023-07-01 16:00:00,1394,Weekday,Fareless,Heart-to-Hub Uniter,2023-07,2023,2024Q1,2024
2023-08-01 16:00:00,1781,Weekday,Fareless,Heart-to-Hub Uniter,2023-08,2023,2024Q1,2024
2023-09-01 16:00:00,1864,Weekday,Fareless,Heart-to-Hub Uniter,2023-09,2023,2024Q1,2024
2002-07-01 10:00:00,1666,Weekday,Ticketed,Loop Original,2002-07,2002,2003Q1,2003
2002-08-01 10:00:00,1699,Weekday,Ticketed,Loop Original,2002-08,2002,2003Q1,2003
2002-09-01 10:00:00,1566,Weekday,Ticketed,Loop Original,2002-09,2002,2003Q1,2003
2002-10-01 10:00:00,2351,Weekday,Ticketed,Loop Original,2002-10,2002,2003Q2,2003
2002-11-01 10:00:00,1566,Weekday,Ticketed,Loop Original,2002-11,2002,2003Q2,2003
2002-12-01 10:00:00,1545,Weekday,Ticketed,Loop Original,2002-12,2002,2003Q2,2003
2003-01-01 10:00:00,2045,Weekday,Ticketed,Loop Original,2003-01,2003,2003Q3,2003
2003-02-01 10:00:00,2876,Weekday,Ticketed,Loop Original,2003-02,2003,2003Q3,2003
2003-03-01 10:00:00,1757,Weekday,Ticketed,Loop Original,2003-03,2003,2003Q3,2003
2003-04-01 10:00:00,2067,Weekday,Ticketed,Loop Original,2003-04,2003,2003Q4,2003
2003-05-01 10:00:00,1806,Weekday,Ticketed,Loop Original,2003-05,2003,2003Q4,2003
2003-06-01 10:00:00,1946,Weekday,Ticketed,Loop Original,2003-06,2003,2003Q4,2003
2003-07-01 10:00:00,1635,Weekday,Ticketed,Loop Original,2003-07,2003,2004Q1,2004
2003-08-01 10:00:00,1457,Weekday,Ticketed,Loop Original,2003-08,2003,2004Q1,2004
2003-09-01 10:00:00,1650,Weekday,Ticketed,Loop Original,2003-09,2003,2004Q1,2004
2003-10-01 10:00:00,1797,Weekday,Ticketed,Loop Original,2003-10,2003,2004Q2,2004
2003-11-01 10:00:00,1684,Weekday,Ticketed,Loop Original,2003-11,2003,2004Q2,2004
2003-12-01 10:00:00,1444,Weekday,Ticketed,Loop Original,2003-12,2003,2004Q2,2004
2004-01-01 10:00:00,1486,Weekday,Ticketed,Loop Original,2004-01,2004,2004Q3,2004
2004-02-01 10:00:00,1597,Weekday,Ticketed,Loop Original,2004-02,2004,2004Q3,2004
2004-03-01 10:00:00,1962,Weekday,Ticketed,Loop Original,2004-03,2004,2004Q3,2004
2004-04-01 10:00:00,1940,Weekday,Ticketed,Loop Original,2004-04,2004,2004Q4,2004
2004-05-01 10:00:00,1705,Weekday,Ticketed,Loop Original,2004-05,2004,2004Q4,2004
2004-06-01 10:00:00,1582,Weekday,Ticketed,Loop Original,2004-06,2004,2004Q4,2004
2004-07-01 10:00:00,1488,Weekday,Ticketed,Loop Original,2004-07,2004,2005Q1,2005
2004-08-01 10:00:00,1348,Weekday,Ticketed,Loop Original,2004-08,2004,2005Q1,2005
2004-09-01 10:00:00,1571,Weekday,Ticketed,Loop Original,2004-09,2004,2005Q1,2005
2004-10-01 10:00:00,1904,Weekday,Ticketed,Loop Original,2004-10,2004,2005Q2,2005
2004-11-01 10:00:00,1518,Weekday,Ticketed,Loop Original,2004-11,2004,2005Q2,2005
2004-12-01 10:00:00,1209,Weekday,Ticketed,Loop Original,2004-12,2004,2005Q2,2005
2005-01-01 10:00:00,1395,Weekday,Ticketed,Loop Original,2005-01,2005,2005Q3,2005
2005-02-01 10:00:00,1047,Weekday,Ticketed,Loop Original,2005-02,2005,2005Q3,2005
2005-03-01 10:00:00,1503,Weekday,Ticketed,Loop Original,2005-03,2005,2005Q3,2005
2005-04-01 10:00:00,1575,Weekday,Ticketed,Loop Original,2005-04,2005,2005Q4,2005
2005-05-01 10:00:00,1363,Weekday,Ticketed,Loop Original,2005-05,2005,2005Q4,2005
2005-06-01 10:00:00,1589,Weekday,Ticketed,Loop Original,2005-06,2005,2005Q4,2005
2005-07-01 10:00:00,1445,Weekday,Ticketed,Loop Original,2005-07,2005,2006Q1,2006
2005-08-01 10:00:00,1751,Weekday,Ticketed,Loop Original,2005-08,2005,2006Q1,2006
2005-09-01 10:00:00,747,Weekday,Ticketed,Loop Original,2005-09,2005,2006Q1,2006
2005-10-01 10:00:00,2192,Weekday,Ticketed,Loop Original,2005-10,2005,2006Q2,2006
2005-11-01 10:00:00,1648,Weekday,Ticketed,Loop Original,2005-11,2005,2006Q2,2006
2005-12-01 10:00:00,1453,Weekday,Ticketed,Loop Original,2005-12,2005,2006Q2,2006
2006-01-01 10:00:00,1050,Weekday,Ticketed,Loop Original,2006-01,2006,2006Q3,2006
2006-02-01 10:00:00,1570,Weekday,Ticketed,Loop Original,2006-02,2006,2006Q3,2006
2006-03-01 10:00:00,1650,Weekday,Ticketed,Loop Original,2006-03,2006,2006Q3,2006
2006-04-01 10:00:00,1624,Weekday,Ticketed,Loop Original,2006-04,2006,2006Q4,2006
2006-05-01 10:00:00,1460,Weekday,Ticketed,Loop Original,2006-05,2006,2006Q4,2006
2006-06-01 10:00:00,1705,Weekday,Ticketed,Loop Original,2006-06,2006,2006Q4,2006
2006-07-01 10:00:00,1168,Weekday,Ticketed,Loop Original,2006-07,2006,2007Q1,2007
2006-08-01 10:00:00,1671,Weekday,Ticketed,Loop Original,2006-08,2006,2007Q1,2007
2006-09-01 10:00:00,1548,Weekday,Ticketed,Loop Original,2006-09,2006,2007Q1,2007
2006-10-01 10:00:00,1977,Weekday,Ticketed,Loop Original,2006-10,2006,2007Q2,2007
2006-11-01 10:00:00,1399,Weekday,Ticketed,Loop Original,2006-11,2006,2007Q2,2007
2006-12-01 10:00:00,1097,Weekday,Ticketed,Loop Original,2006-12,2006,2007Q2,2007
2007-01-01 10:00:00,1706,Weekday,Ticketed,Loop Original,2007-01,2007,2007Q3,2007
2007-02-01 10:00:00,1458,Weekday,Ticketed,Loop Original,2007-02,2007,2007Q3,2007
2007-03-01 10:00:00,1612,Weekday,Ticketed,Loop Original,2007-03,2007,2007Q3,2007
2007-04-01 10:00:00,1718,Weekday,Ticketed,Loop Original,2007-04,2007,2007Q4,2007
2007-05-01 10:00:00,1591,Weekday,Ticketed,Loop Original,2007-05,2007,2007Q4,2007
2007-06-01 10:00:00,1502,Weekday,Ticketed,Loop Original,2007-06,2007,2007Q4,2007
2007-07-01 10:00:00,1333,Weekday,Ticketed,Loop Original,2007-07,2007,2008Q1,2008
2007-08-01 10:00:00,1562,Weekday,Ticketed,Loop Original,2007-08,2007,2008Q1,2008
2007-09-01 10:00:00,1579,Weekday,Ticketed,Loop Original,2007-09,2007,2008Q1,2008
2007-10-01 10:00:00,2191,Weekday,Ticketed,Loop Original,2007-10,2007,2008Q2,2008
2007-11-01 10:00:00,1524,Weekday,Ticketed,Loop Original,2007-11,2007,2008Q2,2008
2007-12-01 10:00:00,1365,Weekday,Ticketed,Loop Original,2007-12,2007,2008Q2,2008
2008-01-01 10:00:00,1700,Weekday,Ticketed,Loop Original,2008-01,2008,2008Q3,2008
2008-02-01 10:00:00,1840,Weekday,Ticketed,Loop Original,2008-02,2008,2008Q3,2008
2008-03-01 10:00:00,1614,Weekday,Ticketed,Loop Original,2008-03,2008,2008Q3,2008
2008-04-01 10:00:00,2008,Weekday,Ticketed,Loop Original,2008-04,2008,2008Q4,2008
2008-05-01 10:00:00,1778,Weekday,Ticketed,Loop Original,2008-05,2008,2008Q4,2008
2008-06-01 10:00:00,1445,Weekday,Ticketed,Loop Original,2008-06,2008,2008Q4,2008
2008-07-01 10:00:00,1927,Weekday,Ticketed,Loop Original,2008-07,2008,2009Q1,2009
2008-08-01 10:00:00,1883,Weekday,Ticketed,Loop Original,2008-08,2008,2009Q1,2009
2008-09-01 10:00:00,2189,Weekday,Ticketed,Loop Original,2008-09,2008,2009Q1,2009
2008-10-01 10:00:00,2587,Weekday,Ticketed,Loop Original,2008-10,2008,2009Q2,2009
2008-11-01 10:00:00,318,Weekday,Ticketed,Loop Original,2008-11,2008,2009Q2,2009
2008-12-01 10:00:00,1434,Weekday,Ticketed,Loop Original,2008-12,2008,2009Q2,2009
2009-01-01 10:00:00,938,Weekday,Ticketed,Loop Original,2009-01,2009,2009Q3,2009
2009-02-01 10:00:00,1162,Weekday,Ticketed,Loop Original,2009-02,2009,2009Q3,2009
2009-03-01 10:00:00,940,Weekday,Ticketed,Loop Original,2009-03,2009,2009Q3,2009
2009-04-01 10:00:00,1110,Weekday,Ticketed,Loop Original,2009-04,2009,2009Q4,2009
2009-05-01 10:00:00,918,Weekday,Ticketed,Loop Original,2009-05,2009,2009Q4,2009
2009-06-01 10:00:00,1436,Weekday,Ticketed,Loop Original,2009-06,2009,2009Q4,2009
2009-07-01 10:00:00,1983,Weekday,Ticketed,Loop Original,2009-07,2009,2010Q1,2010
2009-08-01 10:00:00,1810,Weekday,Ticketed,Loop Original,2009-08,2009,2010Q1,2010
2009-09-01 10:00:00,1855,Weekday,Ticketed,Loop Original,2009-09,2009,2010Q1,2010
2009-10-01 10:00:00,1832,Weekday,Ticketed,Loop Original,2009-10,2009,2010Q2,2010
2009-11-01 10:00:00,1368,Weekday,Ticketed,Loop Original,2009-11,2009,2010Q2,2010
2009-12-01 10:00:00,1890,Weekday,Ticketed,Loop Original,2009-12,2009,2010Q2,2010
2010-01-01 10:00:00,1999,Weekday,Ticketed,Loop Original,2010-01,2010,2010Q3,2010
2010-02-01 10:00:00,1845,Weekday,Ticketed,Loop Original,2010-02,2010,2010Q3,2010
2010-03-01 10:00:00,1837,Weekday,Ticketed,Loop Original,2010-03,2010,2010Q3,2010
2010-04-01 10:00:00,2046,Weekday,Ticketed,Loop Original,2010-04,2010,2010Q4,2010
2010-05-01 10:00:00,1497,Weekday,Ticketed,Loop Original,2010-05,2010,2010Q4,2010
2010-06-01 10:00:00,1896,Weekday,Ticketed,Loop Original,2010-06,2010,2010Q4,2010
2010-07-01 10:00:00,1937,Weekday,Ticketed,Loop Original,2010-07,2010,2011Q1,2011
2010-08-01 10:00:00,1965,Weekday,Ticketed,Loop Original,2010-08,2010,2011Q1,2011
2010-09-01 10:00:00,1977,Weekday,Ticketed,Loop Original,2010-09,2010,2011Q1,2011
